condition,siblings,parents,hometown,averagebond
1,6,7,5,6.00
2,6,6,3,5.00
3,5,6,3,4.67
1,5,5,4,4.67
2,6,5,4,5.00
3,5,6,3,4.67
2,6,6,6,6.00
1,5,4,6,5.00
1,7,5,5,5.67
1,7,5,6,6.00
1,7,6,5,6.00
2, ,7,7,    
1,7,7,6,6.67
2,6,5,4,5.00
3,6,5,7,6.00
1,6,6,5,5.67
3,5,6,2,4.33
1,5,6,5,5.33
2,6,6,5,5.67
2,6,5,3,4.67
2,7,7,5,6.33
1,6,7,6,6.33
3,6,7,6,6.33
2,7,7,3,5.67
3,3,5,2,3.33
3,7,7,5,6.33
2,5,6,6,5.67
3,5,6,3,4.67
1,5,5,6,5.33
3,6,7,5,6.00
1,6,4,4,4.67
3,7,7,4,6.00
2,5,5,4,4.67
3,7,6,6,6.33
2,6,7,7,6.67
3,6,6,1,4.33
2,4,3,3,3.33
1,6,6,4,5.33
1,6,6,5,5.67
1, ,4,3,    
1,5,7,3,5.00
1,5,7,6,6.00
2,6,3,4,4.33
1,7,6,6,6.33
1,6,5,7,6.00
3,6,6,5,5.67
2,7,6,6,6.33
2,7,6,6,6.33
2,6,6,4,5.33
1,7,6,4,5.67
1,5,6,6,5.67
3,3,5,7,5.00
2,3,7,4,4.67
3,5,7,5,5.67
2,4,3,3,3.33
3,5,6,7,6.00
1,6,6,7,6.33
3, ,5,6,    
2,2,3,3,2.67
2,7,7,5,6.33
3,7,7,5,6.33
3,1,1,6,2.67
1,1,6,3,3.33
1,7,7,5,6.33
3,1,2,5,2.67
2,5,6,5,5.33
1,6,2,2,3.33
2,6,5,5,5.33
2,5,6,5,5.33
2,4,7,5,5.33
2,4,6,6,5.33
3,6,6,5,5.67
2,5,6,2,4.33
2,6,5,5,5.33
3,6,5,2,4.33
2,7,7,2,5.33
3,7,7,7,7.00
1,5,6,4,5.00
2,7,6,5,6.00
1,3,6,5,4.67
2,5,6,6,5.67
2,2,3,6,3.67
1,5,4,7,5.33
2, ,5,4,    
2,6,5,6,5.67
2,7,7,7,7.00
2,5,6,5,5.33
2,6,5,4,5.00
2,6,7,4,5.67
2,6,6,5,5.67
1,3,2,7,4.00
3,6,7,4,5.67
3,7,7,6,6.67
2, ,6,2,    
1,6,6,5,5.67
3,7,7,2,5.33
1,5,4,6,5.00
2,7,7,5,6.33
3,6,7,6,6.33
2,6,7,4,5.67
2, ,7,7,    
1,6,6,6,6.00
1,6,7,3,5.33
1,6,6,5,5.67
2,6,5,6,5.67
2,7,7,7,7.00
3,7,5,7,6.33
1,7,7,5,6.33
3,5,5,6,5.33
1,6,7,6,6.33
3,5,6,3,4.67
1,7,7,7,7.00
3,6,6,5,5.67
1,5,6,5,5.33
3,5,7,6,6.00
3,7,7,4,6.00
1,5,6,2,4.33
3,5,5,1,3.67
1,6,6,4,5.33
3,6,7,2,5.00
1,4,6,3,4.33
1,6,5,5,5.33
3,5,6,2,4.33
3,5,3,2,3.33
3,7,7,5,6.33
1, ,7,6,    
1,7,6,5,6.00
3, ,7,6,    
1,6,7,5,6.00
3,7,7,7,7.00
2,7,7,7,7.00
1,5,5,2,4.00
2,5,1,1,2.33
